FlightID,FlightNumber,DepartureAirportID,ArrivalAirportID,DepartureTime,ArrivalTime,AircraftID
1,FN0000,11,63,2023-10-03 10:07:05,2023-10-03 13:07:05,26
2,FN0001,97,9,2024-04-24 13:48:37,2024-04-24 15:48:37,32
3,FN0002,98,93,2023-07-13 15:34:07,2023-07-13 16:34:07,37
4,FN0003,32,87,2024-03-17 13:40:39,2024-03-17 20:40:39,22
5,FN0004,28,48,2024-05-31 20:20:18,2024-06-01 02:20:18,3
6,FN0005,11,22,2024-05-03 11:39:01,2024-05-03 19:39:01,27
7,FN0006,99,88,2023-08-20 05:54:28,2023-08-20 08:54:28,23
8,FN0007,26,42,2023-10-22 15:23:23,2023-10-22 16:23:23,2
9,FN0008,1,19,2023-08-12 15:31:08,2023-08-12 19:31:08,15
10,FN0009,23,33,2024-05-04 20:34:34,2024-05-04 23:34:34,46
11,FN0010,15,95,2023-10-25 23:38:46,2023-10-26 05:38:46,45
12,FN0011,39,66,2023-09-05 14:13:35,2023-09-05 16:13:35,5
13,FN0012,39,51,2024-06-08 04:48:26,2024-06-08 12:48:26,22
14,FN0013,82,96,2023-11-09 16:24:12,2023-11-09 17:24:12,11
15,FN0014,15,27,2024-03-02 12:27:38,2024-03-02 18:27:38,31
16,FN0015,3,16,2023-11-02 12:19:48,2023-11-02 21:19:48,47
17,FN0016,61,10,2023-12-12 04:36:00,2023-12-12 07:36:00,29
18,FN0017,90,10,2023-11-07 01:13:23,2023-11-07 07:13:23,28
19,FN0018,60,58,2024-06-08 15:39:12,2024-06-08 22:39:12,19
20,FN0019,48,80,2023-07-17 06:27:01,2023-07-17 12:27:01,5
21,FN0020,40,4,2023-12-03 03:43:12,2023-12-03 13:43:12,12
22,FN0021,25,22,2023-08-19 06:50:54,2023-08-19 08:50:54,15
23,FN0022,80,21,2024-05-23 07:03:05,2024-05-23 12:03:05,9
24,FN0023,61,26,2023-08-22 07:01:30,2023-08-22 09:01:30,31
25,FN0024,97,14,2024-03-31 15:51:46,2024-03-31 17:51:46,32
26,FN0025,64,73,2024-06-15 18:21:20,2024-06-15 20:21:20,30
27,FN0026,42,12,2024-02-06 16:41:04,2024-02-06 20:41:04,1
28,FN0027,31,64,2024-06-18 04:13:28,2024-06-18 12:13:28,19
29,FN0028,34,63,2023-08-01 05:19:34,2023-08-01 06:19:34,16
30,FN0029,80,38,2024-04-05 09:03:27,2024-04-05 18:03:27,23
31,FN0030,20,38,2024-02-15 10:12:49,2024-02-15 16:12:49,29
32,FN0031,34,3,2024-01-31 23:47:18,2024-02-01 00:47:18,44
33,FN0032,55,38,2024-03-13 08:12:30,2024-03-13 17:12:30,17
34,FN0033,70,27,2023-11-10 04:43:56,2023-11-10 11:43:56,49
35,FN0034,70,43,2024-03-06 22:09:26,2024-03-07 02:09:26,1
36,FN0035,70,71,2023-09-14 07:19:10,2023-09-14 10:19:10,30
37,FN0036,73,59,2023-11-16 10:47:17,2023-11-16 20:47:17,47
38,FN0037,31,39,2023-09-12 10:21:08,2023-09-12 15:21:08,19
39,FN0038,1,42,2023-11-09 20:25:49,2023-11-10 00:25:49,26
40,FN0039,19,50,2024-03-11 17:43:28,2024-03-12 03:43:28,23
41,FN0040,25,16,2024-02-10 17:04:21,2024-02-10 23:04:21,5
42,FN0041,22,13,2024-06-04 09:50:20,2024-06-04 11:50:20,50
43,FN0042,48,82,2023-11-30 05:12:38,2023-11-30 14:12:38,6
44,FN0043,60,57,2023-07-11 18:28:15,2023-07-12 03:28:15,50
45,FN0044,58,4,2023-10-10 10:52:31,2023-10-10 19:52:31,10
46,FN0045,36,58,2024-01-10 15:29:32,2024-01-10 20:29:32,2
47,FN0046,63,65,2023-08-31 13:49:41,2023-08-31 18:49:41,31
48,FN0047,37,58,2023-09-04 23:24:13,2023-09-05 03:24:13,45
